case_id,message_id,user_id_original,pais_usuario,country_iso,direction,text_original,language_detected,sentiment_score,sentiment_label,primary_emotion,topics,max_severity,regulatory_flags,escalation_needed_llm,priority_llm,priority_math,priority_final,priority_policy,severe_risk_signals,resolved_override,score_base,score_final,confidence,model_used,tokens_in,tokens_out,latency_ms,cost_usd,analyzed_at,analysis_status
CASE-003,MSG-011,USR-901,Perú,PE,INBOUND,"""También intentaron cambiar mi correo. ¡Hagan algo rápido!""",es,-0.9,very_negative,fear,"account_management, fraud_security",1.0,"fraud_suspected, unauthorized_charge",True,p1,,p1,,,,0.92,1.0,0.95,gemini-2.5-flash-lite,3273,289,1816,0.0004429,2026-05-01 14:11:59,ok
CASE-004,MSG-012,USR-223,Brasil,BR,INBOUND,"""O app em português é ótimo, mas não consigo validar meu CPF.""",pt,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-004,MSG-013,AGENT-05,Brasil,BR,OUTBOUND,"""Olá, você pode tentar tirar a foto novamente com más luz?""",pt,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-004,MSG-014,USR-223,Brasil,BR,INBOUND,"""Já tentei 5 vezes e dá erro sempre. O suporte não me atende.""",pt,-0.8,very_negative,frustration,"kyc_onboarding, support_quality",0.8,consumer_protection,True,p3,,p3,,,,0.765,1.0,0.9,gemini-2.5-flash-lite,3250,234,9961,0.0004186,2026-05-01 14:12:09,ok
CASE-005,MSG-015,USR-441,Chile,CL,INBOUND,"""Si para mañana no tengo mi dinero, voy a la CMF con mis abogados.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-005,MSG-016,AGENT-02,Chile,CL,OUTBOUND,"""Lamentamos la demora, estamos procesando el reembolso manual.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-005,MSG-017,USR-441,Chile,CL,INBOUND,"""Me vienen diciendo lo mismo hace una semana. Esto es un robo.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-005,MSG-018,USR-441,Chile,CL,INBOUND,"""Adjunto el pantallazo de mi banco donde sale que ustedes ya tienen el dinero.""",es,-0.9,very_negative,anger,"fraud_security, support_quality, transfers",0.8,"consumer_protection, fraud_suspected",True,p1,,p1,,,,0.835,1.0,0.95,gemini-2.5-flash-lite,3270,348,13691,0.0004662,2026-05-01 14:12:23,ok
CASE-006,MSG-019,USR-332,Chile,CL,INBOUND,"""Hola, ¿puedo pedir una tarjeta adicional para mi hijo de 15 años?""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-006,MSG-020,AGENT-01,Chile,CL,OUTBOUND,"""Hola, por ahora solo permitimos una tarjeta por titular de cuenta.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-006,MSG-021,USR-332,Chile,CL,INBOUND,"""Qué mal, otras apps sí dejan. ¿Cuándo van a habilitar esa opción?""",es,-0.5,negative,frustration,cards,0.2,,False,p4,,p4,,,,0.1425,0.2138,0.9,gemini-2.5-flash-lite,3255,185,16620,0.0003995,2026-05-01 14:12:40,ok
CASE-007,MSG-022,USR-556,México,MX,INBOUND,"""Mi transferencia a España dice 'Completada' pero no ha llegado.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-007,MSG-023,AGENT-04,México,MX,OUTBOUND,"""Revisamos y el IBAN que pusiste parece tener un error de dígito.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-007,MSG-024,USR-556,México,MX,INBOUND,"""Ay no, me equivoqué. ¿Se puede cancelar el envío o ya se perdió?""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-007,MSG-025,USR-556,México,MX,INBOUND,"""Necesito recuperar ese monto para volver a enviarlo correctamente.""",es,-0.8,very_negative,frustration,transfers,0.9,consumer_protection,True,p2,,p2,,,,0.77,1.0,0.95,gemini-2.5-flash-lite,3272,263,42876,0.0004324,2026-05-01 14:13:26,ok
CASE-008,MSG-026,USR-112,Argentina,AR,INBOUND,"""Quiero denunciar que alguien me llamó pidiendo mi clave de Global.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-008,MSG-027,AGENT-01,Argentina,AR,OUTBOUND,"""Gracias por avisar. Recuerda que nunca pedimos claves por teléfono.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-008,MSG-028,USR-112,Argentina,AR,INBOUND,"""El tipo sabía mi nombre completo. Tienen una filtración de datos.""",es,-0.8,very_negative,fear,fraud_security,1.0,"data_privacy, fraud_suspected",True,p1,,p1,,,,0.7375,1.0,0.9,gemini-2.5-flash-lite,3248,297,13749,0.0004436,2026-05-01 14:13:14,ok
CASE-009,MSG-029,USR-881,Chile,CL,INBOUND,"""Me están cobrando 5 USD de mantenimiento y dijeron que era gratis.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-009,MSG-030,AGENT-02,Chile,CL,OUTBOUND,"""Ese cobro es del banco corresponsal en el extranjero, no de nosotros.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-009,MSG-031,USR-881,Chile,CL,INBOUND,"""En la publicidad no dicen eso. Es publicidad engañosa, devuélvanlo.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-009,MSG-032,USR-881,Chile,CL,INBOUND,"""Si no me lo devuelven, cerraré mi cuenta hoy mismo.""",es,-0.7,very_negative,anger,"fees_pricing, support_quality",0.6,consumer_protection,True,p3,,p3,,,,0.6025,0.9038,0.95,gemini-2.5-flash-lite,3274,281,12456,0.0004398,2026-05-01 14:13:32,ok
CASE-010,MSG-033,USR-990,México,MX,INBOUND,"""Amo la billetera multimoneda, pero el gráfico de euros no carga.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-010,MSG-034,AGENT-03,México,MX,OUTBOUND,"""¿Podrías intentar cerrar sesión y volver a entrar para refrescar?""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-010,MSG-035,USR-990,México,MX,INBOUND,"""Ya lo hice y sigue igual. Les mando pantallazo del error 502.""",es,-0.5,negative,frustration,app_stability,0.3,,True,p3,,p3,,,,0.175,0.2625,0.9,gemini-2.5-flash-lite,3254,199,4141,0.000405,2026-05-01 14:13:30,ok
CASE-011,MSG-036,USR-121,Colombia,CO,INBOUND,"""El cajero se tragó mi tarjeta en Bogotá. Estoy en el aeropuerto.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-011,MSG-037,AGENT-01,Colombia,CO,OUTBOUND,"""Lamentamos eso. Bloquea la tarjeta desde la app de inmediato.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-011,MSG-038,USR-121,Colombia,CO,INBOUND,"""Ya la bloqueé, ¿pero cómo saco plata para mi taxi? No tengo efectivo.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-011,MSG-039,USR-121,Colombia,CO,INBOUND,"""Por favor, ¿tienen algún convenio para retiro sin tarjeta?""",es,-0.7,negative,frustration,"account_management, cash_in_out",0.8,,True,p2,,p2,,,,0.4225,0.6338,0.9,gemini-2.5-flash-lite,3271,235,12153,0.0004211,2026-05-01 14:13:46,ok
CASE-012,MSG-040,USR-449,Chile,CL,INBOUND,"""Quiero enviar dinero a Japón. ¿Es posible hacerlo hoy?""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-012,MSG-041,AGENT-02,Chile,CL,OUTBOUND,"""Sí, pero recuerda que el banco de destino puede demorar 48h hábiles.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-012,MSG-042,USR-449,Chile,CL,INBOUND,"""Ah ok, ¿y la comisión es fija o porcentaje del monto?""",es,0.1,neutral,neutral,"fees_pricing, transfers",0.1,,False,p4,,p4,,,,0.0325,0.0488,0.9,gemini-2.5-flash-lite,3249,213,2756,0.0004101,2026-05-01 14:13:35,ok
CASE-013,MSG-043,USR-552,Argentina,AR,INBOUND,"""Mi abuelo falleció y era el titular de la cuenta. ¿Cómo retiro el saldo?""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-013,MSG-044,AGENT-04,Argentina,AR,OUTBOUND,"""Sentimos tu pérdida. Necesitamos el acta de defunción y poder legal.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-013,MSG-045,USR-552,Argentina,AR,INBOUND,"""Tengo el acta, ¿dónde la subo? No encuentro una opción legal en la app.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-013,MSG-046,USR-552,Argentina,AR,INBOUND,"""Es urgente, necesitamos ese dinero para los gastos del funeral.""",es,-0.8,very_negative,sadness,"account_management, app_stability",1.0,consumer_protection,True,p2,,p2,,,,0.905,1.0,0.95,gemini-2.5-flash-lite,3275,270,5840,0.0004355,2026-05-01 14:13:42,ok
CASE-014,MSG-047,USR-661,Perú,PE,INBOUND,"""Me llegó un cobro duplicado de Netflix en mi estado de cuenta.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-014,MSG-048,AGENT-01,Perú,PE,OUTBOUND,"""A veces es una retención temporal. Espera 48h para que se reverse.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-014,MSG-049,USR-661,Perú,PE,INBOUND,"""Ya pasaron 3 días y el cobro sigue ahí. Quiero desconocer la compra.""",es,-0.7,negative,anger,cards,0.6,"consumer_protection, unauthorized_charge",True,p3,,p1,,,,0.5975,0.8962,0.95,gemini-2.5-flash-lite,3257,271,10252,0.0004341,2026-05-01 14:13:53,ok
CASE-015,MSG-050,USR-119,Chile,CL,INBOUND,"""Solicito eliminar mi cuenta y mis datos bajo la ley de transparencia.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-015,MSG-051,AGENT-03,Chile,CL,OUTBOUND,"""Claro, pero debes tener saldo en cero antes de que procedamos.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-015,MSG-052,USR-119,Chile,CL,INBOUND,"""Mi saldo es cero. Por favor envíenme el certificado de cierre.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-015,MSG-053,USR-119,Chile,CL,INBOUND,"""¿Por qué sigo recibiendo correos de marketing si ya pedí el cierre?""",es,-0.8,very_negative,anger,account_management,0.7,data_privacy,True,p3,,p3,,,,0.645,0.9675,0.9,gemini-2.5-flash-lite,3271,291,20729,0.0004435,2026-05-01 14:14:07,ok
CASE-016,MSG-054,USR-210,México,MX,INBOUND,"""Llevo 10 intentos tratando de validar mi selfie y la app se cierra.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-016,MSG-055,AGENT-05,México,MX,OUTBOUND,"""Hola, intenta limpiar el caché de la app y asegúrate de tener buena luz.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-016,MSG-056,USR-210,México,MX,INBOUND,"""Ya lo hice, borré la app y la reinstalé. Sigue fallando en el 99%.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-016,MSG-057,USR-210,México,MX,INBOUND,"""No puedo enviar mi dinero a mi familia por este error técnico. ¡Ayuda!""",es,-0.8,very_negative,frustration,"kyc_onboarding, transfers",0.9,,True,p2,,p2,,,,0.47,0.705,0.95,gemini-2.5-flash-lite,3284,258,20180,0.0004316,2026-05-01 14:14:13,ok
CASE-017,MSG-058,USR-884,Chile,CL,INBOUND,"""Mi empresa necesita pagar nómina a 5 personas en España. ¿Tienen plan business?""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-017,MSG-059,AGENT-02,Chile,CL,OUTBOUND,"""Hola, sí tenemos. Necesitamos el RUT de la empresa y representante legal.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-017,MSG-060,USR-884,Chile,CL,INBOUND,"""Perfecto, ¿la tasa de cambio es mejor para empresas o es la misma?""",es,0.3,neutral,neutral,transfers,0.1,,False,p4,,p4,,,,0.035,0.0525,0.9,gemini-2.5-flash-lite,3255,197,22193,0.0004043,2026-05-01 14:14:37,ok
CASE-018,MSG-061,USR-337,Perú,PE,INBOUND,"""URGENTE: Perdí mi celular en un taxi y no alcancé a cerrar la sesión.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-018,MSG-062,AGENT-01,Perú,PE,OUTBOUND,"""Entendido. Vamos a desvincular todos tus dispositivos ahora mismo.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-018,MSG-063,USR-337,Perú,PE,INBOUND,"""Gracias. También bloqueen mi tarjeta física por si acaso, iba en el protector.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-018,MSG-064,USR-337,Perú,PE,INBOUND,"""Acabo de ver un correo de 'inicio de sesión exitoso'. ¡Apúrense!""",es,-0.9,very_negative,fear,"account_management, cards",1.0,"fraud_suspected, other",True,p1,,p1,,,,0.8575,1.0,0.95,gemini-2.5-flash-lite,3282,316,29245,0.0004546,2026-05-01 14:14:42,ok
CASE-019,MSG-065,USR-114,Colombia,CO,INBOUND,"""The app language is stuck in Portuguese and I am in Colombia. Help!""",en,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-019,MSG-066,AGENT-03,Colombia,CO,OUTBOUND,"""Go to Settings > Profile > Language to change it back.""",en,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-019,MSG-067,USR-114,Colombia,CO,INBOUND,"""The settings menu is also in Portuguese, I can't find the 'Profile' button.""",en,-0.7,negative,frustration,account_management,0.5,,True,p3,,p3,,,,0.265,0.3975,0.9,gemini-2.5-flash-lite,3250,212,6054,0.0004098,2026-05-01 14:15:06,ok
CASE-020,MSG-068,USR-665,Argentina,AR,INBOUND,"""Quiero denunciar una página de Instagram que usa su logo para estafar.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-020,MSG-069,AGENT-01,Argentina,AR,OUTBOUND,"""Gracias por reportarlo. ¿Podrías enviarnos el link del perfil?""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-020,MSG-070,USR-665,Argentina,AR,INBOUND,"""Es este: @Global66_PremiosOficial. Me pidieron mi clave para un bono.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-020,MSG-071,USR-665,Argentina,AR,INBOUND,"""Mucha gente está cayendo, por favor publiquen una alerta oficial.""",es,-0.8,very_negative,anger,fraud_security,1.0,"fraud_suspected, unauthorized_charge",True,p1,,p1,,,,0.7375,1.0,0.95,gemini-2.5-flash-lite,3278,280,14434,0.0004398,2026-05-01 14:14:56,ok
CASE-021,MSG-072,USR-502,Chile,CL,INBOUND,"""Mi transferencia a Venezuela fue rechazada y no me devolvieron la comisión.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-021,MSG-073,AGENT-02,Chile,CL,OUTBOUND,"""Si el error fue del banco destino, la comisión de red no es reembolsable.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-021,MSG-074,USR-502,Chile,CL,INBOUND,"""Pero el error fue de su sistema, me dio un CBU inválido. Quiero mi dinero.""",es,-0.8,very_negative,anger,"fees_pricing, transfers",0.7,consumer_protection,True,p3,,p3,,,,0.7075,1.0,0.9,gemini-2.5-flash-lite,3258,242,6987,0.0004226,2026-05-01 14:15:03,ok
CASE-022,MSG-075,USR-993,Reino Unido,GB,INBOUND,"""Hola, ¿puedo usar la tarjeta Global para pagar el Metro en Londres?""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-022,MSG-076,AGENT-04,Reino Unido,GB,OUTBOUND,"""Sí, funciona con tecnología contactless en casi todo el transporte público.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-022,MSG-077,USR-993,Reino Unido,GB,INBOUND,"""Genial, ¿y se descuenta de mi saldo en dólares o libras?""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-022,MSG-078,USR-993,Reino Unido,GB,INBOUND,"""Pregunto porque no quiero que me cobren doble conversión de divisa.""",es,-0.1,neutral,confusion,"cards, fx_currency",0.3,consumer_protection,False,p4,,p4,,,,0.41,0.615,0.9,gemini-2.5-flash-lite,3270,255,10970,0.000429,2026-05-01 14:15:14,ok
CASE-023,MSG-079,USR-108,México,MX,INBOUND,"""Llevo 2 días sin poder entrar. Sale 'Error de conexión' siempre.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-023,MSG-080,AGENT-05,México,MX,OUTBOUND,"""¿Estás usando datos móviles o WiFi? Algunos proveedores bloquean la IP.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-023,MSG-081,USR-108,México,MX,INBOUND,"""Con ambos. Mis amigos que usan Global también tienen el mismo problema.""",es,-0.8,very_negative,frustration,app_stability,0.9,,True,p2,,p2,,,,0.4675,0.7013,0.95,gemini-2.5-flash-lite,3252,242,10713,0.000422,2026-05-01 14:15:17,ok
CASE-024,MSG-082,USR-779,Perú,PE,INBOUND,"""Solicito un comprobante timbrado de mi última carga de saldo.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-024,MSG-083,AGENT-02,Perú,PE,OUTBOUND,"""Puedes descargarlo en PDF desde el historial de movimientos.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-024,MSG-084,USR-779,Perú,PE,INBOUND,"""Ese no me sirve, mi banco me pide uno con firma digital de ustedes.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-024,MSG-085,USR-779,Perú,PE,INBOUND,"""Es para sustentar el origen de los fondos para la compra de un auto.""",es,-0.5,negative,frustration,account_management,0.7,consumer_protection,True,p3,,p3,,,,0.595,0.8925,0.9,gemini-2.5-flash-lite,3266,256,17387,0.000429,2026-05-01 14:15:32,ok
CASE-025,MSG-086,USR-442,Chile,CL,INBOUND,"""Me llegó la tarjeta pero el sobre venía abierto. Tengo miedo de usarla.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-025,MSG-087,AGENT-01,Chile,CL,OUTBOUND,"""Por seguridad, no la actives. Vamos a enviarte una reposición sin costo.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-025,MSG-088,USR-442,Chile,CL,INBOUND,"""Gracias. ¿Cuánto tiempo demora en llegar la nueva? Me voy de viaje el lunes.""",es,-0.5,negative,fear,cards,0.8,fraud_suspected,True,p2,,p2,,,,0.625,0.9375,0.95,gemini-2.5-flash-lite,3256,289,2137,0.0004412,2026-05-01 14:15:19,ok
CASE-026,MSG-089,USR-125,Brasil,BR,INBOUND,"""A interface em português está com alguns erros de tradução na parte de extrato.""",pt,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-026,MSG-090,AGENT-05,Brasil,BR,OUTBOUND,"""Lamentamos isso. Você pode nos enviar um print do erro?""",pt,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-026,MSG-091,USR-125,Brasil,BR,INBOUND,"""Claro, aqui está. A palavra 'Reembolso' aparece como 'Venda'.""",pt,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-026,MSG-092,USR-125,Brasil,BR,INBOUND,"""Isso confunde muito na hora de conferir os gastos mensais.""",pt,-0.6,negative,frustration,app_stability,0.3,consumer_protection,True,p3,,p3,,,,0.49,0.735,0.95,gemini-2.5-flash-lite,3271,246,18057,0.0004255,2026-05-01 14:15:37,ok
CASE-027,MSG-093,USR-339,Chile,CL,INBOUND,"""Quiero denunciar que mi saldo bajó 50 lucas de la nada. No hice compras.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-027,MSG-094,AGENT-02,Chile,CL,OUTBOUND,"""Revisamos y tienes una suscripción de Amazon Prime activa.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-027,MSG-095,USR-339,Chile,CL,INBOUND,"""Yo cancelé eso el mes pasado. Quiero que me devuelvan la plata.""",es,-0.8,very_negative,anger,"account_management, fees_pricing",0.8,"consumer_protection, unauthorized_charge",True,p2,,p2,,,,0.74,1.0,0.95,gemini-2.5-flash-lite,3254,287,15876,0.0004402,2026-05-01 14:15:48,ok
CASE-028,MSG-096,USR-881,USA,US,INBOUND,"""My physical card was declined at an ATM in Miami. I have balance.""",en,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-028,MSG-097,AGENT-03,USA,US,OUTBOUND,"""Did you check if the 'International Transactions' toggle is ON in the app?""",en,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-028,MSG-098,USR-881,USA,US,INBOUND,"""It was OFF. I just turned it ON. Let me try again.""",en,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-028,MSG-099,USR-881,USA,US,INBOUND,"""Still declined. The ATM says 'Issuer unavailable'. Please fix it.""",en,-0.8,very_negative,frustration,"account_management, cards",0.8,consumer_protection,True,p2,,p2,,,,0.74,1.0,0.95,gemini-2.5-flash-lite,3269,286,3215,0.0004413,2026-05-01 14:15:40,ok
CASE-029,MSG-100,USR-902,Perú,PE,INBOUND,"""Hola, soy sordo y necesito validar mi cuenta. La selfie me pide mover la cabeza.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-029,MSG-101,AGENT-04,Perú,PE,OUTBOUND,"""Hola, podemos hacer una validación manual vía chat si gustas.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-029,MSG-102,USR-902,Perú,PE,INBOUND,"""Sí por favor, porque me cuesta mucho seguir las instrucciones por voz.""",es,-0.5,negative,frustration,kyc_onboarding,0.8,,True,p3,,p3,,,,0.3225,0.4838,0.95,gemini-2.5-flash-lite,3251,210,8438,0.0004091,2026-05-01 14:15:48,ok
CASE-030,MSG-103,USR-446,Colombia,CO,INBOUND,"""Me están pidiendo mi declaración de renta para mandar 1000 USD.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-030,MSG-104,AGENT-01,Colombia,CO,OUTBOUND,"""Es por normativa de cumplimiento para montos superiores al límite.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-030,MSG-105,USR-446,Colombia,CO,INBOUND,"""Pero si el mes pasado mandé 2000 y no me pidieron nada. Es injusto.""",es,-0.6,negative,frustration,"kyc_onboarding, transfers",0.7,consumer_protection,True,p3,,p3,,,,0.6125,0.9187,0.9,gemini-2.5-flash-lite,3256,257,10731,0.0004284,2026-05-01 14:15:58,ok
CASE-031,MSG-106,USR-505,Argentina,AR,INBOUND,"""Mi transferencia a Argentina llegó en pesos pero yo quería dólares.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-031,MSG-107,AGENT-02,Argentina,AR,OUTBOUND,"""Hola, por normativa local, los giros se liquidan en moneda nacional.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-031,MSG-108,USR-505,Argentina,AR,INBOUND,"""Nadie me avisó eso en la cotización. Perdí mucha plata en el cambio.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-031,MSG-109,USR-505,Argentina,AR,INBOUND,"""Quiero que reviertan la operación y me devuelvan mis dólares.""",es,-0.7,negative,frustration,"fees_pricing, transfers",0.8,consumer_protection,True,p3,,p3,,,,0.66,0.99,0.9,gemini-2.5-flash-lite,3271,278,6089,0.0004383,2026-05-01 14:15:56,ok
CASE-032,MSG-110,USR-220,Chile,CL,INBOUND,"""Me llegó un cobro de 'Uber' que no reconozco. Yo no uso esa app.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-032,MSG-111,AGENT-01,Chile,CL,OUTBOUND,"""Entendido. Vamos a bloquear tu tarjeta por seguridad ahora.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-032,MSG-112,USR-220,Chile,CL,INBOUND,"""Gracias. ¿Cómo pido el reembolso de esos 15 mil pesos?""",es,-0.7,negative,frustration,"fraud_security, transfers",1.0,"consumer_protection, fraud_suspected, unauthorized_charge",True,p1,,p1,,,,0.7175,1.0,0.95,gemini-2.5-flash-lite,3253,330,5338,0.0004573,2026-05-01 14:16:01,ok
CASE-033,MSG-113,USR-801,México,MX,INBOUND,"""Amo la app, pero la función de 'Metas de Ahorro' no me deja retirar.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-033,MSG-114,AGENT-03,México,MX,OUTBOUND,"""Debes 'romper' la meta antes de mover el dinero a tu billetera.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-033,MSG-115,USR-801,México,MX,INBOUND,"""No encuentro el botón de romper meta por ningún lado.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
